日期,预测值,预测下限,预测上限,趋势,趋势下限,趋势上限,年度季节性,年度季节性下限,年度季节性上限,月度季节性,月度季节性下限,月度季节性上限
2020-01-01,214490.21804442495,167700.4239335155,262153.22777264926,277943.6051543673,277943.6051543673,277943.6051543673,-0.07042922473714906,-0.07042922473714906,-0.07042922473714906,-0.15786668109850016,-0.15786668109850016,-0.15786668109850016
2020-02-01,221237.18720450572,175396.18514821192,267886.4555864317,278853.36981426296,278853.36981426296,278853.36981426296,-0.07528811808170524,-0.07528811808170524,-0.07528811808170524,-0.1313300864898727,-0.1313300864898727,-0.1313300864898727
2020-03-01,245521.75784697826,199789.8570191571,293152.0290161587,279704.4399953916,279704.4399953916,279704.4399953916,0.09304930506477303,0.09304930506477303,0.09304930506477303,-0.21525931413354754,-0.21525931413354754,-0.21525931413354754
2020-04-01,211952.26321731563,166218.0823499418,259207.4191696606,280614.20467177045,280614.20467177045,280614.20467177045,-0.05691981753509688,-0.05691981753509688,-0.05691981753509688,-0.18776466497272015,-0.18776466497272015,-0.18776466497272015
2020-05-01,233448.34325596972,187211.0260341083,279609.41171520256,281494.6221005242,281494.6221005242,281494.6221005242,0.0445765547756216,0.0445765547756216,0.0445765547756216,-0.21525931413361996,-0.21525931413361996,-0.21525931413361996
2020-06-01,234553.67852125745,186587.64099669261,278708.4662342964,282404.3867840449,282404.3867840449,282404.3867840449,0.01832427912153127,0.01832427912153127,0.01832427912153127,-0.18776466497282823,-0.18776466497282823,-0.18776466497282823
2020-07-01,235077.50991105483,190937.3409774977,281504.7442522365,283284.8042197102,283284.8042197102,283284.8042197102,0.04508677543558823,0.04508677543558823,0.04508677543558823,-0.2152593141336636,-0.2152593141336636,-0.2152593141336636
2020-08-01,238157.31813566535,190703.86227079283,285744.2658042262,284194.5689032309,284194.5689032309,284194.5689032309,0.025772650328767063,0.025772650328767063,0.025772650328767063,-0.18776466497293628,-0.18776466497293628,-0.18776466497293628
2020-09-01,231064.93740271727,183457.15889927582,274691.28591211,285104.33358675166,285104.33358675166,285104.33358675166,-0.03167584708502247,-0.03167584708502247,-0.03167584708502247,-0.15786668109823032,-0.15786668109823032,-0.15786668109823032
2020-10-01,230144.46731107795,183529.93886503784,278599.95229889965,285984.7510391263,285984.7510391263,285984.7510391263,-0.007491493004444023,-0.007491493004444023,-0.007491493004444023,-0.18776466497304434,-0.18776466497304434,-0.18776466497304434
2020-11-01,230884.5117851608,185315.61584230766,277411.091424665,286894.5157399135,286894.5157399135,286894.5157399135,-0.03736188160271359,-0.03736188160271359,-0.03736188160271359,-0.15786668109846058,-0.15786668109846058,-0.15786668109846058
2020-12-01,234863.65235451865,185257.4689871202,282386.5668122899,287774.93319228815,287774.93319228815,287774.93319228815,0.003901253901088121,0.003901253901088121,0.003901253901088121,-0.18776466497315242,-0.18776466497315242,-0.18776466497315242
2021-01-01,243701.94809781632,194439.66337511103,288371.83858918713,288684.6978930753,288684.6978930753,288684.6978930753,0.0020470269099883975,0.0020470269099883975,0.0020470269099883975,-0.15786668109865598,-0.15786668109865598,-0.15786668109865598
2021-02-01,214633.34927239627,171735.8883242981,260416.62515453753,289594.4626597369,289594.4626597369,289594.4626597369,-0.12751848643821723,-0.12751848643821723,-0.12751848643821723,-0.13133008648984057,-0.13133008648984057,-0.13133008648984057
2021-03-01,244093.15164987702,195046.90069426163,292220.46307635447,290416.1856747861,290416.1856747861,290416.1856747861,0.09073570223778607,0.09073570223778607,0.09073570223778607,-0.25024139203698537,-0.25024139203698537,-0.25024139203698537
2021-04-01,205938.60401482848,159784.35499277373,252821.10661012126,291325.9504414477,291325.9504414477,291325.9504414477,-0.056929397915161384,-0.056929397915161384,-0.056929397915161384,-0.23616960784533247,-0.23616960784533247,-0.23616960784533247
2021-05-01,234088.86257770663,186813.5702477461,277267.86862457305,292206.3679575718,292206.3679575718,292206.3679575718,0.05134940420645407,0.05134940420645407,0.05134940420645407,-0.2502413920371361,-0.2502413920371361,-0.2502413920371361
2021-06-01,226096.51015796006,182871.7544148119,274190.7152816323,293116.13275818527,293116.13275818527,293116.13275818527,0.007524319817275353,0.007524319817275353,0.007524319817275353,-0.23616960784553617,-0.23616960784553617,-0.23616960784553617
2021-07-01,232050.08286839412,184009.95530876517,281441.13935375464,293996.550307166,293996.550307166,293996.550307166,0.03953664950156624,0.03953664950156624,0.03953664950156624,-0.25024139203698226,-0.25024139203698226,-0.25024139203698226
2021-08-01,235832.74006062516,185349.97075258134,281061.1965784104,294906.31510777946,294906.31510777946,294906.31510777946,0.03585658631677073,0.03585658631677073,0.03585658631677073,-0.23616960784553878,-0.23616960784553878,-0.23616960784553878
2021-09-01,221834.02834773005,174570.72165236075,265158.0469403469,295816.07990839286,295816.07990839286,295816.07990839286,-0.034835446041343,-0.034835446041343,-0.034835446041343,-0.2152593141338756,-0.2152593141338756,-0.2152593141338756
2021-10-01,225818.95092561803,181988.47501244713,274008.54451133107,296696.4974567567,296696.4974567567,296696.4974567567,-0.0027194492843008178,-0.0027194492843008178,-0.0027194492843008178,-0.23616960784543173,-0.23616960784543173,-0.23616960784543173
2021-11-01,222996.25170426816,178307.07148979715,270262.2285899516,297606.2622567327,297606.2622567327,297606.2622567327,-0.03544109111572666,-0.03544109111572666,-0.03544109111572666,-0.2152593141334798,-0.2152593141334798,-0.2152593141334798
2021-12-01,229995.51964993187,180603.62735485478,275415.02607719705,298486.6798050965,298486.6798050965,298486.6798050965,0.006708245616868627,0.006708245616868627,0.006708245616868627,-0.23616960784545252,-0.23616960784545252,-0.23616960784545252
